company_name,high,low,last_price,prev_close,change,percent_gain
ITI,200.70,156.00,199.65,167.25,32.40,19.37
Indiabulls Hsg,191.00,168.50,188.35,167.90,20.45,12.18
PNB,73.10,66.30,72.55,66.85,5.70,8.53
Infibeam Avenue,18.20,16.45,18.00,16.60,1.40,8.43
IOB,35.30,31.60,35.00,32.35,2.65,8.19
Sobha,702.95,642.00,698.75,646.70,52.05,8.05
SJVN,76.90,70.00,75.90,70.35,5.55,7.89
Central Bank,40.65,36.60,40.40,37.60,2.80,7.45
Triveni Engg,359.85,328.60,354.90,331.45,23.45,7.07
Poly Medicure,"1,443.95","1,339.60","1,424.75","1,339.50",85.25,6.36
Ajanta Pharma,"1,904.45","1,715.00","1,821.25","1,715.70",105.55,6.15
Glenmark,864.70,812.80,861.90,814.20,47.70,5.86
UCO Bank,35.70,32.70,35.55,33.65,1.90,5.65
GlaxoSmithKline,"1,552.00","1,455.40","1,544.05","1,461.75",82.30,5.63
Aarti Ind,529.90,495.20,526.10,498.35,27.75,5.57
India Cements,250.00,231.00,247.25,234.45,12.80,5.46
C. E. Info Syst,"1,730.00","1,635.80","1,717.70","1,632.60",85.10,5.21
Bank of India,104.55,96.70,103.55,98.45,5.10,5.18
Indiabulls Real,79.20,73.30,77.60,73.95,3.65,4.94
Brightcom Group,15.95,15.50,15.95,15.20,0.75,4.93
Varroc Engineer,437.70,405.05,433.55,413.35,20.20,4.89
Vodafone Idea,11.20,10.30,11.00,10.50,0.50,4.76
BEML,"2,454.00","2,307.30","2,421.30","2,311.95",109.35,4.73
Bank of Mah,43.30,40.10,43.00,41.10,1.90,4.62
Canara Bank,365.30,345.05,364.75,348.80,15.95,4.57
RBL Bank,228.20,218.25,227.75,217.80,9.95,4.57
Natco Pharma,881.95,819.85,856.10,819.15,36.95,4.51
GNFC,655.50,625.35,653.20,625.90,27.30,4.36
Bank of Baroda,209.45,198.10,208.65,199.95,8.70,4.35
Graphite India,514.10,477.60,502.40,481.65,20.75,4.31
Trident,39.30,37.40,39.10,37.50,1.60,4.27
Rattanindia Ent,59.85,56.10,58.60,56.25,2.35,4.18
NMDC,142.85,135.65,142.20,136.50,5.70,4.18
Granules India,325.85,312.85,320.55,307.75,12.80,4.16
Network 18,68.80,65.35,68.55,65.85,2.70,4.1
Jyothy Labs,390.00,341.20,362.85,348.65,14.20,4.07
Mahindra Life,594.90,565.00,590.00,567.05,22.95,4.05
NOCIL,251.85,236.95,248.95,239.25,9.70,4.05
Century,"1,055.20",998.40,"1,047.85","1,008.15",39.70,3.94
Vaibhav Global,432.55,409.10,430.25,414.35,15.90,3.84
Firstsource Sol,164.65,156.25,163.80,157.80,6.00,3.8
Global Health,705.90,679.00,702.00,676.70,25.30,3.74
PCBL,168.75,159.70,167.15,161.20,5.95,3.69
Balrampur Chini,416.50,400.20,415.65,401.10,14.55,3.63
TV18 Broadcast,46.00,43.20,45.70,44.10,1.60,3.63
Aurobindo Pharm,907.70,871.00,902.50,871.20,31.30,3.59
Indian Bank,403.00,380.30,397.50,383.80,13.70,3.57
JM Financial,88.40,83.05,87.90,84.95,2.95,3.47
Fert and Chem,524.90,490.25,515.80,498.70,17.10,3.43
Elgi Equipments,519.60,503.00,516.00,498.95,17.05,3.42
DCM Shriram,"1,021.00",960.00,"1,013.30",980.10,33.20,3.39
Grasim,"1,946.50","1,855.65","1,933.00","1,870.95",62.05,3.32
Union Bank,91.20,86.70,90.50,87.60,2.90,3.31
Tata Comm,"1,918.45","1,837.45","1,911.80","1,850.80",61.00,3.3
Coal India,281.50,269.00,279.65,270.75,8.90,3.29
Bombay Burmah,"1,220.00","1,149.95","1,206.80","1,169.05",37.75,3.23
Godrej Ind,572.90,549.95,570.80,553.15,17.65,3.19
Zydus Wellness,"1,617.50","1,563.60","1,613.60","1,564.10",49.50,3.16
Welspun India,121.65,112.60,120.75,117.05,3.70,3.16
Can Fin Homes,780.95,751.80,775.05,751.80,23.25,3.09
Chola Fin Hold,"1,148.70","1,020.20","1,138.60","1,104.50",34.10,3.09
CESC,88.95,83.70,88.55,85.90,2.65,3.08
Alembic Pharma,778.85,746.05,773.90,751.05,22.85,3.04
IDBI Bank,68.35,64.60,67.70,65.70,2.00,3.04
Alkem Lab,"3,750.00","3,635.90","3,744.75","3,635.35",109.40,3.01
NBCC (India),57.00,53.55,56.30,54.70,1.60,2.93
Rallis India,230.00,220.70,229.40,223.05,6.35,2.85
IFB Industries,948.65,910.05,942.15,916.10,26.05,2.84
Sun Pharma Adv,246.95,236.55,246.00,239.20,6.80,2.84
TATA Cons. Prod,891.25,860.15,889.30,864.75,24.55,2.84
Delhivery,433.00,419.65,430.15,418.35,11.80,2.82
EID Parry,523.65,504.05,519.50,505.25,14.25,2.82
Bharti Airtel,918.00,885.55,915.15,890.40,24.75,2.78
General Insuran,215.45,206.85,212.45,206.70,5.75,2.78
New India Assur,129.35,123.55,128.35,124.95,3.40,2.72
Blue Dart,"6,842.00","6,541.00","6,806.25","6,628.05",178.20,2.69
KEC Intl,747.70,665.25,683.15,665.25,17.90,2.69
Metropolis,"1,441.45","1,391.20","1,435.90","1,398.35",37.55,2.69
Piramal Pharma,103.25,98.80,103.00,100.30,2.70,2.69
Uflex,454.35,436.20,450.40,438.75,11.65,2.66
TataTeleservice,104.20,97.55,102.90,100.25,2.65,2.64
Aarti Drugs,609.00,580.00,597.80,582.60,15.20,2.61
Jubilant Pharmo,446.30,429.05,444.10,432.80,11.30,2.61
ACC,"2,066.75","2,004.55","2,063.05","2,010.95",52.10,2.59
LIC Housing Fin,452.60,437.40,450.80,439.45,11.35,2.58
RHI Magnesita,745.75,711.00,743.60,724.95,18.65,2.57
Gujarat Pipavav,130.85,123.65,128.90,125.70,3.20,2.55
Vardhman Text,389.00,365.00,385.80,376.30,9.50,2.52
BHEL,130.70,121.60,128.80,125.65,3.15,2.51
KFin Tech,482.00,443.15,466.90,455.45,11.45,2.51
NLC India,133.45,125.10,131.20,128.00,3.20,2.5
JK Paper,386.50,365.15,381.20,371.95,9.25,2.49
FSN E-Co Nykaa,150.00,145.00,148.75,145.15,3.60,2.48
Zydus Life,644.45,625.15,643.25,627.75,15.50,2.47
Restaurant Bran,130.85,115.30,119.00,116.15,2.85,2.45
Titan Company,"3,270.00","3,178.05","3,263.20","3,185.80",77.40,2.43
Hind Copper,159.30,150.10,158.50,154.75,3.75,2.42
PNB Housing Fin,685.70,665.25,684.10,667.95,16.15,2.42
SAIL,96.90,93.70,96.00,93.75,2.25,2.4
HFCL,73.85,71.20,73.40,71.70,1.70,2.37
Lakshmi Machine,"14,928.00","14,580.00","14,881.05","14,536.60",344.45,2.37
NHPC,52.20,49.35,51.90,50.70,1.20,2.37
Greenpanel Ind,388.35,367.55,386.95,378.10,8.85,2.34
UNO Minda,625.20,601.70,618.65,605.35,13.30,2.2
ICICI Prudentia,567.95,549.00,566.70,554.55,12.15,2.19
RITES,537.95,503.00,524.40,513.20,11.20,2.18
JK Lakshmi Cem,672.00,652.00,666.05,652.00,14.05,2.15
Suprajit Eng,421.00,400.60,418.70,410.05,8.65,2.11
Equitas Bank,86.20,83.70,85.60,83.85,1.75,2.09
GE Shipping,825.90,798.85,818.85,802.10,16.75,2.09
BPCL,356.15,347.20,355.60,348.40,7.20,2.07
Polycab,"5,053.45","4,849.45","5,043.40","4,942.40",101.00,2.04
Birla Corp,"1,295.90","1,247.20","1,277.65","1,252.20",25.45,2.03
Cochin Shipyard,"1,135.50","1,036.65","1,087.25","1,065.70",21.55,2.02
HUDCO,71.20,67.65,70.95,69.55,1.40,2.01
Prestige Estate,623.40,598.05,619.50,607.45,12.05,1.98
Chambal Fert,284.90,274.10,284.45,278.95,5.50,1.97
EPL,205.50,197.10,202.40,198.55,3.85,1.94
Hikal,303.00,293.60,301.25,295.60,5.65,1.91
Rashtriya Chem,126.90,120.60,125.70,123.35,2.35,1.91
Lux Industries,"1,549.90","1,482.35","1,546.20","1,517.45",28.75,1.89
NALCO,97.85,94.00,97.20,95.40,1.80,1.89
HEG,"1,772.00","1,675.05","1,739.45","1,707.40",32.05,1.88
Praj Industries,577.55,545.45,565.80,555.35,10.45,1.88
JBM Auto,"1,490.00","1,435.00","1,478.55","1,451.35",27.20,1.87
Brigade Ent,622.00,596.80,617.05,605.95,11.10,1.83
Devyani Int,215.85,206.20,210.70,206.95,3.75,1.81
IndusInd Bank,"1,459.65","1,416.05","1,455.05","1,429.15",25.90,1.81
Federal Bank,145.95,140.80,145.15,142.60,2.55,1.79
MCX India,"1,770.00","1,715.00","1,754.90","1,724.10",30.80,1.79
Gujarat Fluoro,"3,075.70","2,971.10","3,059.05","3,005.50",53.55,1.78
Nuvoco Vistas,377.00,361.00,371.30,364.80,6.50,1.78
V-Guard Ind,316.05,303.40,311.60,306.15,5.45,1.78
GMR Airports,60.95,58.35,60.55,59.50,1.05,1.76
Nippon,340.00,330.20,338.00,332.15,5.85,1.76
Blue Star,803.45,772.40,795.85,782.15,13.70,1.75
Sunteck Realty,397.00,381.00,394.55,387.80,6.75,1.74
Shree Renuka,53.15,50.10,52.50,51.60,0.90,1.74
Guj Alkali,726.00,705.75,721.15,709.00,12.15,1.71
City Union Bank,132.80,129.15,132.45,130.25,2.20,1.69
IOC,93.50,91.35,93.10,91.55,1.55,1.69
ONGC,184.70,180.90,183.90,180.90,3.00,1.66
GAIL,124.85,120.80,124.25,122.25,2.00,1.64
Laxmi Organic,295.80,282.35,293.45,288.75,4.70,1.63
VIP Industries,664.95,639.00,662.25,651.65,10.60,1.63
Sanofi India,"7,345.00","7,100.05","7,267.15","7,151.25",115.90,1.62
Avenue Supermar,"3,823.95","3,731.20","3,813.70","3,753.25",60.45,1.61
Bandhan Bank,238.65,228.95,236.60,232.85,3.75,1.61
Epigral,"1,015.00",979.20,"1,011.40",995.35,16.05,1.61
Zee Entertain,277.90,270.00,275.90,271.55,4.35,1.6
M&M Financial,300.90,287.50,297.80,293.15,4.65,1.59
Dr Lal PathLab,"2,252.60","2,188.00","2,240.50","2,205.85",34.65,1.57
L&T Finance,129.25,124.60,128.75,126.80,1.95,1.54
